id,name
regular_season.total,Career Total
regular_season.per_game,Per Game
regular_season.advanced,Advanced Stats
regular_season.game_high,Game High
post_season.total,Career Total
post_season.per_game,Per Game
post_season.advanced,Advanced Stats
post_season.game_high,Game High
awards.individual,Individual Awards
awards.team,Team Awards
